CUSTOMER_ID (PK),SALES_ID (PK),FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,ADDRESS,CITY,STATE,ZIP_CODE,,,,,,,,,,,,,,,,
1701,101,Jen ,Smith ,jen.smith@gmail.com,281-446-2029,256 Kind street,Houston,Texas,77494,,,,,,,,,,,,,,,,
1702,102,David ,Johnson ,david.johnson@gmail.com,210-458-0067,456 MLK drive,San Antonio,Texas,78660,,,,,,,,,,,,,,,,
1703,103,Daniel,Williams ,daniel.williams@gmail.com,210-675-7854,12770 Rodeo Sq Drive,San Antonio,Texas,11368,,,,,,,,,,,,,,,,
1704,104,Mary ,Jones ,mary.jones@gmail.com,713-547-9902,0991 Beverly Hills ,Houston,Texas,90650,,,,,,,,,,,,,,,,
1705,105,John ,Brown ,john.brown@gmail.com,310-967-5432,10 West Elm Street ,Salt Lake City ,Utah,92335,,,,,,,,,,,,,,,,
1706,106,Kim ,Garcia ,kim.garcia@gmail.com,949-886-9087,232 Railroad Avenue,Orange County,California,33162,,,,,,,,,,,,,,,,
1707,107,Sofia ,Davis ,sofia.davis@gmail.vom,646-765-2341,10th Center Street ,New York,California,99501,,,,,,,,,,,,,,,,
1708,108,Anais ,Miller ,anais.miller@gmail.com,310-663-9901,26 Sunset Drive,Los Angeles,California,42748,,,,,,,,,,,,,,,,
1709,109,Gavin ,Rodriguez ,gavin.rodriguez@gmail.com,415-546-3210,91 Spruce Street ,San Francisco,California,70130,,,,,,,,,,,,,,,,
1710,110,Jayden ,Martinez ,jayden.martinez@gmail.com,202-222-9981,45 Jefferson Street,Washington,D.C,10007,,,,,,,,,,,,,,,,
1711,111,Esther ,Wilson ,esther.wilson@gmail.com,312-888-0075,100 Hickory Lane ,Chicago,Illinois,84060,,,,,,,,,,,,,,,,
1712,112,Samuel ,Perez,samuel.perez@gmail.com,305-359-0032,6005 Woodland Drive,Miami,Florida,53703,,,,,,,,,,,,,,,,
1713,113,Ana ,Thompson ,ana.thompson@gmail.com,214-555-6641,5 Lincoln Avenue,Dallas ,Texas,75052,,,,,,,,,,,,,,,,
1714,114,Noelle ,Harris ,noelle.harris@gmail.com,206-888-2025,20 Binghampton Drive,Seattle,Washington,78249,,,,,,,,,,,,,,,,
1715,115,Tamia ,Lewis ,tamia.lewis@gmail.com,650-206-1294,30 Pingsbury Street ,Silicon Valley,California,77072,,,,,,,,,,,,,,,,
1716,116,Lola ,Walker ,lola.walker@gmail.com,617-358-9312,364 Addison Drive,Boston ,Massachusets ,77082,,,,,,,,,,,,,,,,
1717,117,Christian ,Young ,christian.young@gmail.com,301-404-0075,247 Albany Road,Atlanta,Georgia,77084,,,,,,,,,,,,,,,,
1718,118,Flora ,Allen ,flora.allen@gmail.com,602-450-9911,118 Hayward Move,Phoenix ,Arizona,77904,,,,,,,,,,,,,,,,
1719,119,Sellome ,Kim ,sellome.kim@gmail.com,612-987-2323,111 Mapleton,Mineapolis,Minessota,60505,,,,,,,,,,,,,,,,
1720,120,Ryan,Nguyen ,ryan.nguyen@gmail.com,704-123-7890,71 Alendale Drive,Charlotte,North Carolina,35001,,,,,,,,,,,,,,,,
1721,121,Troy ,Adams ,troy.adams@gmail.com,858-998-2026,30 Westheimer Road,San Diego,California,98791,,,,,,,,,,,,,,,,
1722,122,Kristen ,Nelson ,kristen.nelson@gmail.com,215-208-1985,1420 Main Street,Philadelphia,Pennsylvania,36116,,,,,,,,,,,,,,,,
1723,123,Elizabeth ,River ,elizabeth.river@gmail.com,512-190-1908,W 19th St ,Austin,Texas,35805,,,,,,,,,,,,,,,,
1724,124,Melissa ,Campbell ,melissa.campbell@gmail.com,303-734-6464,90 Madison Avenue,Denver,Colorado,36695,,,,,,,,,,,,,,,,
1725,125,Arianna ,Flores ,arianna.flores@gmail.com,702-072-7201,88 Kirby Drive,Las Vegas,Nevada,85032,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
